model,dataset,ckpt,attn_entropy,base_mae,fidelity_gain,stab_rho_0.01,stab_cos_0.01,stab_top5_0.01,stab_rho_0.05,stab_cos_0.05,stab_top5_0.05,stab_rho_0.1,stab_cos_0.1,stab_top5_0.1,agree_attn_shap_rho,agree_attn_shap_cos,agree_attn_shap_top5,agree_attn_perm_rho,agree_attn_perm_top5,agree_shap_perm_rho,agree_shap_perm_top5
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s0.pt,2.768617868423462,0.40268615260720253,0.08597210645675661,0.956140350877193,0.9943360686302185,0.8,0.7719298245614035,0.983626127243042,0.8,0.7719298245614035,0.9830761551856995,0.8,0.6105263157894737,0.6680455803871155,0.6,0.3649122807017544,0.6,0.5333333333333333,1.0
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s0.pt,2.768617868423462,0.40268615260720253,19,False,0.10316652774810793,0.256195866384164,0.956140350877193,0.9943360686302185,0.8,0.7719298245614035,0.983626127243042,0.8,0.7719298245614035,0.9830761551856995,0.8,0.6105263157894737,0.6680455803871155,0.6,0.3649122807017544,0.6,0.5333333333333333,1.0
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s0.pt,2.768617868423462,0.40268615260720253,15,True,0.1525527988374233,0.3788379556876143,0.956140350877193,0.9943360686302185,0.8,0.7719298245614035,0.983626127243042,0.8,0.7719298245614035,0.9830761551856995,0.8,0.7857142857142856,0.6849762201309204,0.8,0.3321428571428571,0.8,0.6749999999999999,1.0
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s0.pt,2.768617868423462,0.40268615260720253,19,False,0.10316652774810793,0.256195866384164,0.956140350877193,0.9943360686302185,0.8,0.7719298245614035,0.983626127243042,0.8,0.7719298245614035,0.9830761551856995,0.8,0.6105263157894737,0.6680455803871155,0.6,0.3649122807017544,0.6,0.5333333333333333,1.0
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s0.pt,2.768617868423462,0.40268615260720253,15,True,0.1525527988374233,0.3788379556876143,0.956140350877193,0.9943360686302185,0.8,0.7719298245614035,0.983626127243042,0.8,0.7719298245614035,0.9830761551856995,0.8,0.7857142857142856,0.6849762201309204,0.8,0.3321428571428571,0.8,0.6749999999999999,1.0
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s1.pt,2.6086647510528564,0.40188225358724594,19,False,0.07051949024200439,0.17547301383064204,0.9982456140350877,0.9982213973999023,1.0,0.9491228070175438,0.9792336821556091,1.0,0.9491228070175438,0.9790719747543335,1.0,0.7894736842105263,0.6873480081558228,0.6,0.5754385964912281,0.6,0.6596491228070176,0.8
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s1.pt,2.6086647510528564,0.40188225358724594,15,True,0.09480590641498565,0.23590468493877878,0.9982456140350877,0.9982213973999023,1.0,0.9491228070175438,0.9792336821556091,1.0,0.9491228070175438,0.9790719747543335,1.0,0.7749999999999999,0.716582179069519,0.6,0.4642857142857142,0.8,0.6749999999999999,0.8
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s2.pt,2.42702054977417,0.3990726754069328,19,False,0.16451525598764422,0.4122438496193423,0.9824561403508772,0.9986373782157898,0.8,0.9192982456140351,0.9833277463912964,0.8,0.9192982456140351,0.9648880362510681,0.8,0.7035087719298245,0.6747669577598572,0.6,0.4473684210526316,0.6,0.7421052631578948,1.0
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s2.pt,2.42702054977417,0.3990726754069328,15,True,0.2312776482105255,0.5795376693598292,0.9824561403508772,0.9986373782157898,0.8,0.9192982456140351,0.9833277463912964,0.8,0.9192982456140351,0.9648880362510681,0.8,0.8928571428571428,0.862846314907074,0.8,0.5857142857142856,0.8,0.7071428571428571,0.8
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s0.pt,2.825043201446533,0.31305617913603784,18,False,0.12187914341688155,0.3893203569826975,1.0,0.9997940063476562,1.0,0.9690402476780186,0.9968807697296143,0.8,0.9256965944272446,0.9960154294967651,0.8,0.28586171310629516,0.6382938027381897,0.2,0.4055727554179567,0.4,0.4262125902992776,0.8
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s0.pt,2.825043201446533,0.31305617913603784,14,True,0.11898273214697838,0.38006830746910353,1.0,0.9997940063476562,1.0,0.9690402476780186,0.9968807697296143,0.8,0.9256965944272446,0.9960154294967651,0.8,0.37142857142857144,0.6892595887184143,0.2,0.2351648351648352,0.4,0.4813186813186813,0.8
